group;object_id;index;name;req_type;resp_type;unit;description;enum_map
BATTERY;0xF99E8CC8;866;battery.cells_stat[6];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
WIFI;0xF9FD0D61;867;wifi.service_ip;STRING;STRING;;Server to connect to to wait for commands, usually used by the vendor service personell;
BATTERY;0xFA3276DC;868;battery.cells_stat[3].t_min.time;UINT32;UINT32;;;
IO_BOARD;0xFA7DB323;869;io_board.check_s0_result;UINT16;UINT16;;;
NSM;0xFAA837C8;870;nsm.f_low_rise_grad;FLOAT;FLOAT;1/Pn*Hz;Power rise gradient for P(f) under-frequency mode without battery;
RB485;0xFAE429C5;871;rb485.f_grid[1];FLOAT;FLOAT;Hz;Grid phase 2 frequency;
BAT_MNG_STRUCT;0xFB57BA65;872;bat_mng_struct.count;STRING;STRING;;;
PRIM_SM;0xFB5DE9C5;873;prim_sm.minigrid_flag;BOOL;BOOL;;Minigrid support;
BATTERY;0xFB796780;874;battery.cells_stat[1];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
POWER_MNG;0xFBD94C1F;875;power_mng.amp_hours;FLOAT;FLOAT;Ah;Battery energy;
ENERGY;0xFBF3CE97;876;energy.e_dc_day[1];FLOAT;FLOAT;Wh;Solar generator B day energy;
BATTERY;0xFBF6D834;877;battery.module_sn[0];STRING;STRING;;Module 0 Serial Number;
ENERGY;0xFBF8D63C;878;energy.e_grid_load_day_sum;FLOAT;FLOAT;;;
ENERGY;0xFC1C614E;879;energy.e_ac_month_sum;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0xFC1F8C65;880;battery_placeholder[0].cells_stat[6].t_max.time;UINT32;UINT32;;;
BAT_MNG_STRUCT;0xFC5AA529;881;bat_mng_struct.bat_calib_soc_threshold;FLOAT;FLOAT;;SOC threshold for battery calibration in advance;
ENERGY;0xFC724A9E;882;energy.e_dc_total[0];FLOAT;FLOAT;Wh;Solar generator A total energy;
BATTERY_PLACEHOLDER;0xFCA1CBB5;883;battery_placeholder[0].voltage;FLOAT;FLOAT;V;Battery voltage;
NSM;0xFCC39293;884;nsm.rpm_lock_in_power;FLOAT;FLOAT;P/Pn;Reactive Power Mode lock-in power;
LOGGER;0xFCF4E78D;885;logger.day_ea_log_ts;INT32;TIMESERIES;;;
GRID_MON;0xFD4F17C4;886;grid_mon[1].f_over.time;FLOAT;FLOAT;s;Max. frequency switch-off time level 2;
FRT;0xFD72CC0D;887;frt.enabled;BOOL;BOOL;;Enable FRT;
ENERGY;0xFDB81124;888;energy.e_grid_feed_day_sum;FLOAT;FLOAT;;;
BATTERY;0xFDBD9EE9;889;battery.cells_stat[3].u_max.index;UINT8;UINT8;;;
BUF_V_CONTROL;0xFE1AA500;890;buf_v_control.power_reduction;FLOAT;FLOAT;;External power reduction based on solar plant peak power [0..1];
BATTERY_PLACEHOLDER;0xFE38B227;891;battery_placeholder[0].cells_stat[5];STRING;STRING;;;
BATTERY;0xFE44BA26;892;battery.cells_stat[0].u_min.index;UINT8;UINT8;;;
DC_CONV;0xFED51BD2;893;dc_conv.dc_conv_struct[1].enabled;BOOL;BOOL;;Solar generator B connected;
WIFI;0xFF2A258B;894;wifi.server_ip;STRING;STRING;;Server to connect to to wait for commands, usually used by the vendor service personell;
