group;object_id;index;name;req_type;resp_type;unit;description;enum_map
BATTERY;0xBDE3BF0A;673;battery.cells_stat[6].t_max.index;UINT8;UINT8;;;
IO_BOARD;0xBDFE5547;674;io_board.rse_table[3];FLOAT;FLOAT;;K4..K1: 0011;
OTHERS;0xBF9B6042;675;svnversion_factory;STRING;STRING;;Control software factory version;
NET;0xBFFF3CAD;676;net.n_slaves;UINT8;UINT8;;;
G_SYNC;0xC03462F6;677;g_sync.p_ac[2];FLOAT;FLOAT;;AC3;
BATTERY_PLACEHOLDER;0xC04A5F3A;678;battery_placeholder[0].bms_software_version;UINT32;UINT32;;Software version BMS Master;
BATTERY;0xC0680302;679;battery.cells_stat[2].t_min.time;UINT32;UINT32;;;
NSM;0xC07E02CE;680;nsm.q_u_sel;ENUM;ENUM;;Voltage selection;
NET;0xC0A7074F;681;net.slave_data;UNKNOWN;UNKNOWN;;;
DB;0xC0B7C4D2;682;db.power_board.afi_t30;FLOAT;FLOAT;s;AFI 30 mA switching off time;
ENERGY;0xC0CC81B6;683;energy.e_ac_year;FLOAT;FLOAT;Wh;Year energy;
BATTERY;0xC0DF2978;684;battery.cycles;INT32;INT32;;Battery charge / discharge cycles;
G_SYNC;0xC198B25B;685;g_sync.u_zk_p_avg;FLOAT;FLOAT;V;Positive buffer capacitor voltage;
HW_TEST;0xC1C82889;686;hw_test.bt_power[1];FLOAT;FLOAT;;;
DISPLAY_STRUCT;0xC1D051EC;687;display_struct.variate_contrast;UINT8;UINT8;;Display pixel test mode;
DB;0xC24E85D0;688;db.core_temp;FLOAT;FLOAT;°C;Core temperature;
NSM;0xC3352B17;689;nsm.rpm;ENUM;ENUM;;Reactive power mode;0=Off|1=Const cos(phi)|2=Const Q|3=cos(phi)(P)|4=Q(U)
OTHERS;0xC36675D4;690;i_ac_max_set;FLOAT;FLOAT;A;Maximum AC throttle current;
OTHERS;0xC3A3F070;691;i_ac_extern_connected;BOOL;BOOL;;Current sensors detected;
HW_TEST;0xC3C7325E;692;hw_test.bt_time[4];FLOAT;FLOAT;;;
PARTITION;0xC3DD7850;693;partition[6].last_id;INT32;INT32;;;
PRIM_SM;0xC40D5688;694;prim_sm.state_source;UINT32;UINT32;;;
BATTERY;0xC42F5807;695;battery.cells_stat[1].u_max.index;UINT8;UINT8;;;
NSM;0xC46E9CA4;696;nsm.u_lock_out;FLOAT;FLOAT;V;Cos phi(P) lock out voltage;
PRIM_SM;0xC4D87E96;697;prim_sm.island_retrials;UINT16;UINT16;;Island trials counter;
FRT;0xC4FA4E33;698;frt.u_min[1];FLOAT;FLOAT;V;Point 2 voltage;
LOGGER;0xC55EF32E;699;logger.year_egrid_load_log_ts;INT32;TIMESERIES;;;
BATTERY_PLACEHOLDER;0xC56A1346;700;battery_placeholder[0].cells_stat[4].t_max.index;UINT8;UINT8;;;
ACC_CONV;0xC642B9D6;701;acc_conv.i_discharge_max;FLOAT;FLOAT;A;Max. battery converter discharge current;
BATTERY_PLACEHOLDER;0xC66665E8;702;battery_placeholder[0].temperature;FLOAT;FLOAT;°C;Battery temperature;
HW_TEST;0xC66A522B;703;hw_test.bt_time[1];FLOAT;FLOAT;;;
BATTERY;0xC6DA81A0;704;battery.cells_stat[6].u_max.time;UINT32;UINT32;;;
HW_TEST;0xC707102E;705;hw_test.bt_power[3];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0xC71155B5;706;battery_placeholder[0].cells_stat[2].t_min.index;UINT8;UINT8;;;
ISO_STRUCT;0xC717D1FB;707;iso_struct.Riso;FLOAT;FLOAT;Ohm;Total insulation resistance;
POWER_MNG;0xC7459513;708;power_mng.force_inv_class;ENUM;ENUM;;Change inverter class;0=take from serial number|1=power inverter|2=power storage
IO_BOARD;0xC7605E16;709;io_board.s0_sum;FLOAT;FLOAT;;;
ENERGY;0xC7D3B479;710;energy.e_load_year;FLOAT;FLOAT;Wh;Household year energy;
BATTERY_PLACEHOLDER;0xC7E85F32;711;battery_placeholder[0].cells_stat[4].t_max.time;UINT32;UINT32;;;
BATTERY;0xC8609C8E;712;battery.cells[3];BATTERY_MODULE_STATUS;BATTERY_MODULE_STATUS;;;
BATTERY;0xC88EB032;713;battery.cells_stat[0].u_min.time;UINT32;UINT32;;;
BATTERY;0xC8BA1729;714;battery.stack_software_version[2];UINT32;UINT32;;Software version stack 2;
